Audience segment,Type,Campaign,Ad groups,Clicks,Impr.,CTR,Currency code,Avg. CPC,Cost
NauticaSummerProductAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],83,326,25.46%,USD,1.24,102.70
Only FP Site,Custom combination segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],26,108,24.07%,USD,1.15,29.97
Business Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],9,24,37.50%,USD,0.41,3.73
Family Vacationers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],8,20,40.00%,USD,0.24,1.93
Online Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],10,44,22.73%,USD,0.40,3.98
Renters,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],4,24,16.67%,USD,0.41,1.64
NauticaGenZShopperList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],0,2,0.00%,USD,0,0.00
Renters,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],100,309,32.36%,USD,0.40,40.38
NauticaPurchased1xInL12MRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],7,15,46.67%,USD,0.94,6.61
SALES PAGE VISITORS - 30 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],6,30,20.00%,USD,1.09,6.55
Apparel & Accessories,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],11,43,25.58%,USD,0.33,3.63
Executive & Management Jobs,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],0,3,0.00%,USD,0,0.00
All Site Visitors - 7 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],2,13,15.38%,USD,2.14,4.28
Car Rental,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],1,2,50.00%,USD,2.47,2.47
NauticaNewArrivalsPaidRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],5,20,25.00%,USD,0.75,3.73
Nautica180DayLookbackWithHoldoutGroupRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],6,13,46.15%,USD,0.73,4.35
Travel,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],7,45,15.56%,USD,0.53,3.68
All Site Visitors - 540 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],99,442,22.40%,USD,1.15,113.83
Business Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],30,91,32.97%,USD,0.78,23.38
Parents of Grade-Schoolers (6-12 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],2,4,50.00%,USD,4.53,9.06
NauticaBigTallProductAffinityRecipients1,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],15,59,25.42%,USD,1.25,18.77
NauticaAlreadyAffluentEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],0,2,0.00%,USD,0,0.00
Business Travelers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],8,22,36.36%,USD,0.92,7.33
NauticaMEssentialShirtsPastPurchasersAndAffinityRecipients,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],78,357,21.85%,USD,1.21,94.61
All Site Visitors - 30 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_female,[],4,17,23.53%,USD,0.70,2.81
All Users of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],771,"1,834",42.04%,USD,0.77,596.46
Avid World News Readers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],90,492,18.29%,USD,1.06,95.32
All Site Visitors - 7 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],3,33,9.09%,USD,7.11,21.32
All Site Visitors - 540 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],18,79,22.78%,USD,1.50,27.01
NauticaAlreadyAffluentEpsilon3PList,Customer segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],4,9,44.44%,USD,0.24,0.96
Visitors Last 30 Days,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],36,223,16.14%,USD,1.19,42.90
SALES PAGE VISITORS - 360 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],15,82,18.29%,USD,2.29,34.39
Music Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],416,"1,819",22.87%,USD,0.76,317.61
All Users of GA4 - Nautica,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],10,78,12.82%,USD,2.55,25.54
Suits & Business Attire,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],2,6,33.33%,USD,0.14,0.28
Music Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],595,"2,874",20.70%,USD,0.94,561.78
Parents of Toddlers (1-3 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],5,7,71.43%,USD,0.05,0.23
All visitors,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],20,108,18.52%,USD,1.56,31.15
In-Store Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],1,4,25.00%,USD,2.13,2.13
Real Estate,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_na,[],15,48,31.25%,USD,0.77,11.54
Car Rental,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_core_na,[],2,5,40.00%,USD,0.01,0.02
SALES PAGE VISITORS - 180 DAYS,Website visitors,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_appar_male,[],16,45,35.56%,USD,1.01,16.23
Parents of Teens (13-17 years),Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],6,10,60.00%,USD,0.20,1.19
Homeowners,Detailed demographics,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_acces_na,[],55,377,14.59%,USD,0.52,28.58
Book Lovers,Affinity segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],91,515,17.67%,USD,1.42,128.97
Online Christmas Shopping,In-market segment,tin_naut_sem_ggl_cvr_dr_b_sem_usa_bau_sale_na,[],2,12,16.67%,USD,1.56,3.11
